train_acc,step,epoch,train_loss,val_acc,val_loss
0.5625,6175,47,0.9597919583320618,,
0.5625,6191,47,0.9569732546806335,,
0.46875,6207,47,1.0867376327514648,,
0.46875,6223,47,0.9220262765884399,,
0.5625,6239,47,0.9325567483901978,,
0.375,6255,47,1.1536411046981812,,
0.5625,6271,47,0.9603455066680908,,
0.3125,6287,47,1.1720757484436035,,
,6287,47,,0.4970238208770752,1.0157124996185303
0.5,6303,48,1.030793309211731,,
0.4375,6319,48,0.9610910415649414,,
0.5,6335,48,1.0684360265731812,,
0.5625,6351,48,0.9441179037094116,,
0.4375,6367,48,1.0585168600082397,,
0.4375,6383,48,0.9857118725776672,,
0.625,6399,48,0.9132396578788757,,
0.40625,6415,48,1.1241204738616943,,
,6418,48,,0.49464285373687744,1.0072271823883057
0.625,6431,49,0.8665189743041992,,
0.59375,6447,49,0.8387318253517151,,
0.5625,6463,49,0.8293721079826355,,
0.46875,6479,49,1.0765347480773926,,
0.6875,6495,49,0.7293268442153931,,
0.21875,6511,49,1.2374666929244995,,
0.53125,6527,49,0.8853179216384888,,
0.34375,6543,49,1.1859508752822876,,
,6549,49,,0.48869046568870544,1.0084846019744873
